base_currency,quote_currency,start_time,open_time,close_time,open_bid,open_ask,open_midpoint,close_bid,close_ask,close_midpoint,average_bid,average_ask,average_midpoint,high_bid,high_ask,high_midpoint,low_bid,low_ask,low_midpoint
USD,EUR,2020-12-28T00:00:00+00:00,2020-12-28T00:00:00+00:00,2020-12-28T23:59:59+00:00,0.820143,0.820143,0.820143,0.818398,0.818398,0.818398,0.818398,0.818398,0.818398,0.820143,0.820143,0.820143,0.818398,0.818398,0.818398
USD,EUR,2020-12-29T00:00:00+00:00,2020-12-29T00:00:00+00:00,2020-12-29T23:59:59+00:00,0.818398,0.818398,0.818398,0.815727,0.815727,0.815727,0.815727,0.815727,0.815727,0.818398,0.818398,0.818398,0.815727,0.815727,0.815727
USD,EUR,2020-12-30T00:00:00+00:00,2020-12-30T00:00:00+00:00,2020-12-30T23:59:59+00:00,0.815727,0.815727,0.815727,0.814266,0.814266,0.814266,0.814266,0.814266,0.814266,0.815727,0.815727,0.815727,0.814266,0.814266,0.814266
USD,EUR,2020-12-31T00:00:00+00:00,2020-12-31T00:00:00+00:00,2020-12-31T23:59:59+00:00,0.814266,0.814266,0.814266,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814266,0.814266,0.814266
USD,EUR,2021-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,2021-01-01T23:59:59+00:00,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930
USD,EUR,2021-01-02T00:00:00+00:00,2021-01-02T00:00:00+00:00,2021-01-02T23:59:59+00:00,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930,0.814930
USD,GBP,2020-12-03T00:00:00+00:00,2020-12-03T00:00:00+00:00,2020-12-03T23:59:59+00:00,0.749959,0.749959,0.749959,0.743626,0.743626,0.743626,0.743626,0.743626,0.743626,,,,,,
USD,GBP,2020-12-04T00:00:00+00:00,2020-12-04T00:00:00+00:00,2020-12-04T23:59:59+00:00,0.743626,0.743626,0.743626,0.742512,0.742512,0.742512,0.742512,0.742512,0.742512,,,,,,
USD,GBP,2020-12-05T00:00:00+00:00,2020-12-05T00:00:00+00:00,2020-12-05T23:59:59+00:00,0.742512,0.742512,0.742512,0.742512,0.742512,0.742512,0.742512,0.742512,0.742512,,,,,,
USD,GBP,2020-12-06T00:00:00+00:00,2020-12-06T00:00:00+00:00,2020-12-06T23:59:59+00:00,0.742512,0.742512,0.742512,0.742512,0.742512,0.742512,0.742512,0.742512,0.742512,,,,,,
USD,GBP,2020-12-07T00:00:00+00:00,2020-12-07T00:00:00+00:00,2020-12-07T23:59:59+00:00,0.742512,0.742512,0.742512,0.752103,0.752103,0.752103,0.752103,0.752103,0.752103,,,,,,
USD,GBP,2020-12-08T00:00:00+00:00,2020-12-08T00:00:00+00:00,2020-12-08T23:59:59+00:00,0.752103,0.752103,0.752103,0.752377,0.752377,0.752377,0.752377,0.752377,0.752377,,,,,,
USD,GBP,2020-12-09T00:00:00+00:00,2020-12-09T00:00:00+00:00,2020-12-09T23:59:59+00:00,0.752377,0.752377,0.752377,0.743249,0.743249,0.743249,0.743249,0.743249,0.743249,,,,,,
USD,GBP,2020-12-10T00:00:00+00:00,2020-12-10T00:00:00+00:00,2020-12-10T23:59:59+00:00,0.743249,0.743249,0.743249,0.751960,0.751960,0.751960,0.751960,0.751960,0.751960,,,,,,
USD,GBP,2020-12-11T00:00:00+00:00,2020-12-11T00:00:00+00:00,2020-12-11T23:59:59+00:00,0.751960,0.751960,0.751960,0.761062,0.761062,0.761062,0.761062,0.761062,0.761062,,,,,,
USD,GBP,2020-12-12T00:00:00+00:00,2020-12-12T00:00:00+00:00,2020-12-12T23:59:59+00:00,0.761062,0.761062,0.761062,0.761062,0.761062,0.761062,0.761062,0.761062,0.761062,,,,,,
USD,GBP,2020-12-13T00:00:00+00:00,2020-12-13T00:00:00+00:00,2020-12-13T23:59:59+00:00,0.761062,0.761062,0.761062,0.761062,0.761062,0.761062,0.761062,0.761062,0.761062,,,,,,
USD,GBP,2020-12-14T00:00:00+00:00,2020-12-14T00:00:00+00:00,2020-12-14T23:59:59+00:00,0.761062,0.761062,0.761062,0.745765,0.745765,0.745765,0.745765,0.745765,0.745765,,,,,,
USD,GBP,2020-12-15T00:00:00+00:00,2020-12-15T00:00:00+00:00,2020-12-15T23:59:59+00:00,0.745765,0.745765,0.745765,0.747900,0.747900,0.747900,0.747900,0.747900,0.747900,,,,,,
USD,GBP,2020-12-16T00:00:00+00:00,2020-12-16T00:00:00+00:00,2020-12-16T23:59:59+00:00,0.747900,0.747900,0.747900,0.737960,0.737960,0.737960,0.737960,0.737960,0.737960,,,,,,
USD,GBP,2020-12-17T00:00:00+00:00,2020-12-17T00:00:00+00:00,2020-12-17T23:59:59+00:00,0.737960,0.737960,0.737960,0.735342,0.735342,0.735342,0.735342,0.735342,0.735342,,,,,,
USD,GBP,2020-12-18T00:00:00+00:00,2020-12-18T00:00:00+00:00,2020-12-18T23:59:59+00:00,0.735342,0.735342,0.735342,0.740909,0.740909,0.740909,0.740909,0.740909,0.740909,,,,,,
USD,GBP,2020-12-19T00:00:00+00:00,2020-12-19T00:00:00+00:00,2020-12-19T23:59:59+00:00,0.740909,0.740909,0.740909,0.740909,0.740909,0.740909,0.740909,0.740909,0.740909,,,,,,
USD,GBP,2020-12-20T00:00:00+00:00,2020-12-20T00:00:00+00:00,2020-12-20T23:59:59+00:00,0.740909,0.740909,0.740909,0.740909,0.740909,0.740909,0.740909,0.740909,0.740909,,,,,,
USD,GBP,2020-12-21T00:00:00+00:00,2020-12-21T00:00:00+00:00,2020-12-21T23:59:59+00:00,0.740909,0.740909,0.740909,0.752567,0.752567,0.752567,0.752567,0.752567,0.752567,,,,,,
USD,GBP,2020-12-22T00:00:00+00:00,2020-12-22T00:00:00+00:00,2020-12-22T23:59:59+00:00,0.752567,0.752567,0.752567,0.744734,0.744734,0.744734,0.744734,0.744734,0.744734,,,,,,
USD,GBP,2020-12-23T00:00:00+00:00,2020-12-23T00:00:00+00:00,2020-12-23T23:59:59+00:00,0.744734,0.744734,0.744734,0.745520,0.745520,0.745520,0.745520,0.745520,0.745520,,,,,,
